eneoli L-ID	neologism_of_the_week	collection	participant	lemma	language	neologism type	lex innov process	derived from lexemes	POS	grammatical gender	register	gloss	Wikidata concept	usage note	attestation 1 text	attestation 1 source	attestation 1 year	attestation 2 text	attestation 2 source	attestation 2 year	attestation 3 text	attestation 3 source	attestation 3 year
L1940		ENEOLI Training	?	turismo notturno	it		noun compounding		noun	masculine	semi-formale	attività turistiche svolte durante la notte											
L1941		ENEOLI Training	?	climaticide	fr	dérivation	affixation	climat + -cide	adjective	not applicable		adjectif pour caractériser des actions ou des objets qui contribuent au climaticide			La colère de la gauche s'est également portée sur les dispositions du projet de loi pouvoir d'achat facilitant le recours aux énergies fossiles. Elle dénonce des mesures 'climaticides'.	https://www.lexpress.fr/politique/pouvoir-d-achat-ces-mesures-climaticides-qui-ont-ete-glissees-dans-le-projet-de-loi_2177367.html?cmp_redirect=true	2022						
L1942	https://eneoli.eu/glamping/	ENEOLI Training	Agnes	glamping	da	anglicisme	låneord		noun	common		luksuriøs og komfortabel form for camping 	http://www.wikidata.org/wiki/Q2153744		Glamping er glamourøs camping, hvor du kommer tæt på naturen og kombinerer det primitive lejrliv med mere luksuriøse forhold	https://www.kultunaut.dk/perl/sted/type-slagelse2/nr-2203890	2020	Glem det flade liggeunderlag og det utætte telt: Glamping er det nye camping	https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/glem-det-flade-liggeunderlag-og-det-utaette-telt-glamping-er	2020			
L1943	https://eneoli.eu/glamping/	ENEOLI Training	Ana Fernández	glamping	gl	empréstito non adaptado do inglés	empréstito		noun	masculine		Forma de acampada que combina o cámping tradicional coas comodidades e servizos propios de aloxamentos de maior categoría.	http://www.wikidata.org/wiki/Q2153744	Esta palabra pode atoparse nunha gran variedade de textos, como anuncios, textos publicitarios, entradas de blog etc.	Os bungalows estarán practicamente ao 100 % e as parcelas ao aire libre para autocaravanas, campers e caravanas a un 80 % de ocupación', engade. Ademais, indica que a oferta glamping 'segue gañando adeptos'.	https://www.galiciaconfidencial.com/noticia/237370-nove-dez-parcelas-campings-galegos-encheranse-agosto-chegando-ocupacion-90	2023	O 18 de febreiro vai haber moitas sorpresas. Temos unha confianza clara en que o cambio xa está aquí en Galicia e vaise a producir o próximo 18 de febreiro', manifestou Besteiro no marco dun encontro con representantes da asociación 'Galicia Baleira' mantido este venres nas instalacións do glamping 'Cabanas das Chousas', nos arredores da capital.	https://www.galiciaconfidencial.com/noticia/255169-18f--besteiro-cre-resultado-18f-se-debe-extrapolar-espana-di-feijoo-tempo-desconto	2024			
L1944	https://eneoli.eu/glamping/	ENEOLI Training	Ana Fernández, Beatriz Guerrero	glamping	es	préstamo no adaptado	préstamo	glamping	noun	masculine	informal	modalidad de camping en la que se dispone de agua corriente, electricidad, camas y otras comodidades de la vida moderna	http://www.wikidata.org/wiki/Q2153744	Esta palabra puede encontrarse en una gran variedad de textos, como anuncios, textos publicitarios, entradas de blog, etc.	Por otro lado, cuando vas a un glamping , puede que tengas baño y ducha dentro de tu alojamiento y las comidas cubiertas por el personal del lugar.	https://www.mews.com/es/blog/qu%C3%A9-es-glamping	2023						
L1945		ENEOLI Training	Beatriz Guerrero	brainrot	es	préstamo no adaptado	préstamo	brainrot 	noun	masculine	informal	consumo de contenido banal o poco estimulante intelectualmente, en especial en redes sociales	http://www.wikidata.org/wiki/Q129981458	procedente del inglés	El debate en internet sobre el 'brainrot' se ha extendido tanto que algunos usuarios de las redes sociales han empezado a crear parodias de personas que parecen encarnar la afección.	https://www.nytimes.com/es/2024/06/18/espanol/brainrot-adiccion-redes-sociales.html ‘Brainrot’, la nueva aflicción de internet - The New York Times							
L1946	https://eneoli.eu/kidulting/	ENEOLI Training	Filip	kidulting	pl	zapożyczenie	zapożyczenie		noun	masculine	nieformalny	Trend, w którym dorośli angażują się w aktywności tradycyjnie kojarzone z dziećmi	http://www.wikidata.org/wiki/Q185193	2024	Chociaż na pierwszy rzut oka kidulting może wydawać się niepoważny i… Po prostu dziecinny, psychologowie przekonują, że ma bardzo pozytywny wpływ na stan zdrowia. Potwierdzeniem ich tezy jest chociażby badanie, którego wyniki zostały opublikowane w 2016 roku w czasopiśmie „Emotion'. Potwierdzają one, że nostalgia i powracanie do czynności wykonywanych w latach dzieciństwa pozwala zachować ciągłość między tym, co minęło i teraźniejszością.	https://blosmi.com/kidulting-co-to-jest							
L1947	https://eneoli.eu/procrastibaking/	ENEOLI Training	G1	procrastibaking	en	blend	blending	procrastinate + baking	noun	not applicable	informal	the habit of avoiding serious tasks by spending time baking cakes, biscuits and other treats		The term was originally used in the context of education by students who wanted to avoid studying (https://www.collinsdictionary.com/submission/4645/Procrastibaking).	I should be finishing my paper, but I decided to make muffins instead. Procrastibaking FTW!	https://www.urbandictionary.com/define.php?term=procrastibaking	2008	I spent three hours procrastibaking instead of studying for exams, so not only did I fail, I gained ten kilos!	https://www.collinsdictionary.com/submission/4645/Procrastibaking	2012	"Procrastibaking
100 Recipes for Getting Nothing Done in the Most Delicious Way Possible"	https://www.simonandschuster.com/books/Procrastibaking/Erin-Gardner/9781982117740	2020
L1948	https://eneoli.eu/procrastibaking/	ENEOLI Training	G1 - Silvia 	procrastibaking	it	impronta	prestito	procrastinate + baking	noun	masculine	informal	cucinare torte o piatti salati, procrastinando, ma anche per combattere lo stress		le prime attestazioni del termine risalgono al 2020 e alla pandemia	E se adesso la salvezza (alla quarantena) si rivelasse il #procrastibaking? Ricordate la pratica di cuocere qualcosa (di completamente inutile, mi raccomando) mentre siete costretti a rimanere in casa? È una pratica molto in uso tra chi fa smart working e gli studenti: mi interrompo, mi distraggo, e procrastino qualcosa che devo fare per mettermi a impastare (dolci o salati non importa)	https://www.corriere.it/cook/news/20_marzo_16/procrastibaking-impasto-allontano-l-ansia-quando-cucinare-diventa-terapeutico-afc6d672-67c9-11ea-93a4-da8ab3a8afb1.shtml?refresh_ce	2020	Questa pratica si chiama procrastibaking, termine che arriva dall’unione di due verbi inglesi: procrastinate (simile all’italiano procrastinare, e quindi rinviare nel tempo qualcosa che non vogliamo fare) e bake (che invece significa infornare e, per estensione, cucinare). Quindi, dedicarsi alla cucina e di rimandare a domani ciò che non vogliamo fare oggi!	https://magazine.misya.info/alimentazione/combattere-lansia-lo-stress-cucinando-torna-sorriso-cucina/	2020			
L1949		ENEOLI Training	G1 Silvia	noctourism	it	blend	borrowing	noctourism	noun	masculine	semi-formale	attività turistiche svolte durante la notte			Noctourism: il turismo notturno da provare nel 2025	https://www.elle.com/it/lifestyle/viaggi/a63825494/noctourism-turismo-notturno/	2025	noctourism (dedicandosi all’osservazione del cielo e delle stelle)	https://www.donnamoderna.com/lifestyle/viaggi/solo-travel-noctourism-astroturism-tendenze-vacanze-2025	2025	Il noctourism è un tipo di turismo che si vive di notte (dalle esperienze in città a quelle a contatto con la natura)	https://www.campingmanagement.online/turismo-in-italia/tutti-i-trend-del-turismo-2025-tante-novita-e-la-conferma-del-glamping/	2025
